,0BDoor,timestamp
0,PRESENT,2022-01-07 21:09:30.046000+01:00
1,NOT_PRESENT,2022-01-07 21:09:38.946000+01:00
2,PRESENT,2022-01-07 23:26:55.015000+01:00
3,NOT_PRESENT,2022-01-07 23:26:58.536000+01:00
4,PRESENT,2022-01-08 00:42:05.436000+01:00
5,NOT_PRESENT,2022-01-08 08:30:06.235000+01:00
6,PRESENT,2022-01-08 08:56:35.715000+01:00
7,NOT_PRESENT,2022-01-08 09:44:24.247000+01:00
8,PRESENT,2022-01-08 09:45:14.243000+01:00
9,NOT_PRESENT,2022-01-08 09:49:07.608000+01:00
10,PRESENT,2022-01-08 09:49:40.292000+01:00
11,NOT_PRESENT,2022-01-08 14:29:41.137000+01:00
12,PRESENT,2022-01-08 14:32:31.778000+01:00
13,NOT_PRESENT,2022-01-08 14:32:33.058000+01:00
14,PRESENT,2022-01-08 14:32:53.419000+01:00
15,NOT_PRESENT,2022-01-08 14:40:48.594000+01:00
16,PRESENT,2022-01-09 09:50:41.477000+01:00
17,NOT_PRESENT,2022-01-09 09:50:42.754000+01:00
18,PRESENT,2022-01-09 17:10:05.233000+01:00
19,NOT_PRESENT,2022-01-09 17:10:06.511000+01:00
20,PRESENT,2022-01-09 23:32:25.636000+01:00
21,NOT_PRESENT,2022-01-09 23:32:28.924000+01:00
22,PRESENT,2022-01-10 01:20:54.864000+01:00
23,NOT_PRESENT,2022-01-10 01:20:59.735000+01:00
24,PRESENT,2022-01-10 07:31:07.941000+01:00
25,NOT_PRESENT,2022-01-10 07:51:29.458000+01:00
26,PRESENT,2022-01-10 07:51:57.486000+01:00
27,NOT_PRESENT,2022-01-10 07:51:58.766000+01:00
28,PRESENT,2022-01-10 12:01:50.917000+01:00
29,NOT_PRESENT,2022-01-10 12:04:27.342000+01:00
30,PRESENT,2022-01-10 12:05:28.235000+01:00
31,NOT_PRESENT,2022-01-10 12:12:54.192000+01:00
32,PRESENT,2022-01-10 14:35:36.687000+01:00
33,NOT_PRESENT,2022-01-10 14:41:44.434000+01:00
34,PRESENT,2022-01-11 10:11:36.364000+01:00
35,NOT_PRESENT,2022-01-11 10:20:58.383000+01:00
36,PRESENT,2022-01-11 14:12:08.028000+01:00
37,NOT_PRESENT,2022-01-11 14:18:10.856000+01:00
38,PRESENT,2022-01-12 15:31:19.974000+01:00
39,NOT_PRESENT,2022-01-12 15:31:21.249000+01:00
40,PRESENT,2022-01-12 15:31:43.381000+01:00
41,NOT_PRESENT,2022-01-12 15:41:58.870000+01:00
42,PRESENT,2022-01-12 16:08:10.187000+01:00
43,NOT_PRESENT,2022-01-12 16:14:45.636000+01:00
44,PRESENT,2022-01-13 08:54:56.367000+01:00
45,NOT_PRESENT,2022-01-13 09:02:52.459000+01:00
46,PRESENT,2022-01-13 14:00:59.742000+01:00
47,NOT_PRESENT,2022-01-13 14:01:01.016000+01:00
48,PRESENT,2022-01-13 14:14:08.123000+01:00
49,NOT_PRESENT,2022-01-13 15:36:42.151000+01:00
50,PRESENT,2022-01-13 18:31:44.525000+01:00
51,NOT_PRESENT,2022-01-14 08:02:15.350000+01:00
52,PRESENT,2022-01-14 08:08:13.834000+01:00
53,NOT_PRESENT,2022-01-14 08:15:50.931000+01:00
54,PRESENT,2022-01-14 12:18:41.203000+01:00
55,NOT_PRESENT,2022-01-14 12:24:53.852000+01:00
56,PRESENT,2022-01-14 17:37:28.582000+01:00
57,NOT_PRESENT,2022-01-14 19:24:21.440000+01:00
58,PRESENT,2022-01-15 08:51:24.713000+01:00
59,NOT_PRESENT,2022-01-15 09:03:03.998000+01:00
60,PRESENT,2022-01-15 09:11:52.486000+01:00
61,NOT_PRESENT,2022-01-15 09:11:53.760000+01:00
62,PRESENT,2022-01-15 11:56:17.977000+01:00
63,NOT_PRESENT,2022-01-15 12:03:15.550000+01:00
64,PRESENT,2022-01-15 12:03:32.481000+01:00
65,NOT_PRESENT,2022-01-15 12:03:33.758000+01:00
66,PRESENT,2022-01-15 15:47:32.100000+01:00
67,NOT_PRESENT,2022-01-15 16:02:51.659000+01:00
68,PRESENT,2022-01-15 16:05:33.847000+01:00
69,NOT_PRESENT,2022-01-15 16:10:24.849000+01:00
70,PRESENT,2022-01-15 16:10:26.124000+01:00
71,NOT_PRESENT,2022-01-15 16:12:48.163000+01:00
72,PRESENT,2022-01-15 16:13:04.419000+01:00
73,NOT_PRESENT,2022-01-15 16:44:39.955000+01:00
74,PRESENT,2022-01-16 11:23:11.323000+01:00
75,NOT_PRESENT,2022-01-16 11:23:13.928000+01:00
76,PRESENT,2022-01-16 12:03:25.581000+01:00
77,NOT_PRESENT,2022-01-16 12:12:36.676000+01:00
78,PRESENT,2022-01-16 15:21:36.010000+01:00
